2:22,2:22,"Currie, Paul"
3,Spider-Man 3,"Raimi, Sam"
4,4,"Khrzhanovskiy, Ilya"
9,9,"Acker, Shane"
9.99,$9.99,"Rosenthal, Tatia"
12,Twelve,"Schumacher, Joel"
15,15: The Movie,"Tan, Royston"
21,21,"Luketic, Robert"
31,31,"Zombie, Rob"
42,42,"Helgeland, Brian"
54,54,"Christopher, Mark"
300,300,"Snyder, Zack"
360,360,"Meirelles, Fernando"
1408,1408,"Håfström, Mikael"
1911,Xin hai ge ming,"Zhang, Li_>, <Person id:0000329[http] name:_Chan, Jackie"
1915,1915,"Hovannisian, Garin_>, <Person id:4292282[http] name:_Mouhibian, Alec"
1945,1945,"Török, Ferenc"
2010,2010,"Hyams, Peter"
2012,2012,"Emmerich, Roland"
2046,2046,"Wong, Kar-Wai"
45365,45365,"IV, Bill Ross_>, <Person id:3225731[http] name:_Ross, Turner"
"!Women, Art, Revolution",Women Art Revolution,"Hershman-Leeson, Lynn"
$upercapitalist,Supercapitalist,"Yin, Simon"
(500) Days of Summer,(500) Days of Summer,"Webb, Marc"
(Untitled),(Untitled),"Parker, Jonathan"
*batteries not included,*batteries not included,"Robbins, Matthew"
...And They Lived Happily Ever After,Ils se marièrent et eurent beaucoup d'enfants,"Attal, Yvan"
[Rec] 2,[Rec]²,"Balagueró, Jaume_>, <Person id:0687042[http] name:_Plaza, Paco"
[REC] 3: Genesis,[Rec]³: Génesis,"Plaza, Paco"
[REC] 4: Apocalypse,[REC] 4: Apocalipsis,"Balagueró, Jaume"
1 + 1 = 11,1 + 1 = 11,"Park, Martyn"
"1,000 Rupee Note",,
"1,000 Times Goodnight",Tusen ganger god natt,"Poppe, Erik"
10 Cloverfield Lane,10 Cloverfield Lane,"Trachtenberg, Dan"
10 Days in a Madhouse,10 Days in a Madhouse,"Hines, Timothy"
10 Questions for the Dalai Lama,10 Questions for the Dalai Lama,"Ray, Rick"
10 Things I Hate About You,10 Things I Hate About You,"Junger, Gil"
10 to Midnight,10 to Midnight,"Thompson, J. Lee"
10 Years,10 Years,"Linden, Jamie"
"10,000 BC","10,000 BC","Emmerich, Roland"
100 Bloody Acres,100 Bloody Acres,"Cairnes, Cameron_>, <Person id:1454108[http] name:_Cairnes, Colin"
100% Arabica,100% Arabica,"Zemmouri, Mahmoud"
1001 Grams,1001 Gram,"Hamer, Bent"
101 Dalmatians,101 Dalmatians,"Herek, Stephen"
102 Dalmatians,102 Dalmatians,"Lima, Kevin"
10th & Wolf,10th & Wolf,"Moresco, Bobby"
11 Flowers,Wo 11,"Wang, Xiaoshuai"
11th Hour,11th Hour,"Sheridan, Jim"
12 O'Clock Boys,12 O'Clock Boys,"Nathan, Lotfy"
12 Rounds,12 Rounds,"Harlin, Renny"
12 Years a Slave,12 Years a Slave,"McQueen, Steve"
12:08 East of Bucharest,A fost sau n-a fost?,"Porumboiu, Corneliu"
127 Hours,127 Hours,"Boyle, Danny"
13 Assassins,Jûsan-nin no shikaku,"Miike, Takashi"
13 Going On 30,13 Going on 30,"Winick, Gary"
13 Hours: The Secret Soldiers of Benghazi,13 Hours,"Bay, Michael"
13 Minutes,Elser,"Hirschbiegel, Oliver"
13 Tzameti,13 Tzameti,"Babluani, Géla"
13B,13B,"Schwarz, Bob"
1492: Conquest of Paradise,1492: Conquest of Paradise,"Scott, Ridley"
15 Minutes,15 Minutes,"Herzfeld, John"
16 Blocks,16 Blocks,"Donner, Richard"
16 to Life,16 to Life,"Smith, Becky"
17 Again,17 Again,"Steers, Burr"
17 Girls,17 filles,"Coulin, Delphine_>, <Person id:0183421[http] name:_Coulin, Muriel"
180 South,180° South,"Malloy, Chris"
1999 Cannes Intl. Adv Festival,,
"2 Autumns, 3 Winters",2 automnes 3 hivers,"Betbeder, Sébastien"
2 Days in New York,2 Days in New York,"Delpy, Julie"
2 Days in Paris,2 Days in Paris,"Delpy, Julie"
2 Days In The Valley,2 Days in the Valley,"Herzfeld, John"
2 Fast 2 Furious,2 Fast 2 Furious,"Singleton, John"
2 For the Money,2 for the Money,"Paris, Jerry"
2 Guns,2 Guns,"Kormákur, Baltasar"
2 States,2 States,"Varman, Abhishek"
20 Centimeters,20 centímetros,"Salazar, Ramón"
20 Dates,20 Dates,"Berkowitz, Myles"
20 Feet From Stardom,Twenty Feet from Stardom,"Neville, Morgan"
"20,000 Days on Earth","20,000 Days on Earth","Forsyth, Iain_>, <Person id:3558886[http] name:_Pollard, Jane"
200 Cartas,200 Cartas,"Irizarry, Bruno"
200 Cigarettes,200 Cigarettes,"Garcia, Risa Bramon"
2005 Academy Award Nominated Short Films,2005 Academy Award Nominated Short Films,"Acker, Shane_>, <Person id:0028764[http] name:_Andrews, Mark_>, <Person id:0133866[http] name:_Canemaker, John_>, <Person id:1880529[http] name:_Colman, Sharon_>, <Person id:1193346[http] name:_Ellis, Sean_>, <Person id:0343826[http] name:_Grote, Ulrike_>, <Person id:0524077[http] name:_Lucas, Anthony_>, <Person id:1732981[http] name:_McDonagh, Martin_>, <Person id:1745389[http] name:_Pearlstein, Rob_>, <Person id:1242172[http] name:_Rúnarsson, Rúnar"
2006 Academy Award Nominated Short Films,2005 Academy Award Nominated Short Films,"Acker, Shane_>, <Person id:0028764[http] name:_Andrews, Mark_>, <Person id:0133866[http] name:_Canemaker, John_>, <Person id:1880529[http] name:_Colman, Sharon_>, <Person id:1193346[http] name:_Ellis, Sean_>, <Person id:0343826[http] name:_Grote, Ulrike_>, <Person id:0524077[http] name:_Lucas, Anthony_>, <Person id:1732981[http] name:_McDonagh, Martin_>, <Person id:1745389[http] name:_Pearlstein, Rob_>, <Person id:1242172[http] name:_Rúnarsson, Rúnar"
2007 Academy Award Nominated Short Films,2005 Academy Award Nominated Short Films,"Acker, Shane_>, <Person id:0028764[http] name:_Andrews, Mark_>, <Person id:0133866[http] name:_Canemaker, John_>, <Person id:1880529[http] name:_Colman, Sharon_>, <Person id:1193346[http] name:_Ellis, Sean_>, <Person id:0343826[http] name:_Grote, Ulrike_>, <Person id:0524077[http] name:_Lucas, Anthony_>, <Person id:1732981[http] name:_McDonagh, Martin_>, <Person id:1745389[http] name:_Pearlstein, Rob_>, <Person id:1242172[http] name:_Rúnarsson, Rúnar"
2009 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2010 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2011 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2012 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2013 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2014 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2015 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
