filmName,normalizedDistributor,scoreRotten,scoreAudience,story,genre,openingWeekendNumTheaters,year,domesticGrossAdj,foreignGrossAdj,worldwideGrossAdj,budgetAdj,openingWeekend,domesticProfitability,worldwideProfitability,domToForeignRatio,openingWeekendGrossPerScreen,domesticGrossInfAdj
Avatar ,Fox,83,92,Metamorphosis,Action,3452,2009,760500000,2021000000,2781500000,237000000,77000000,3.208860759,11.73628692,0.376298862,22305.90962,661001250
Marvel's The Avengers,Buena Vista,92,91,,,4349,2012,623357910,895237000,1518594910,220000000,207438708,2.833445045,6.902704136,0.6963049,47698.02437,579722856.3
Harry Potter and the Deathly Hallows Part 2,Warner Brothers,96,92,Rivalry,Fantasy,4375,2011,381011000,960500000,1341511000,125000000,169189000,3.048088,10.732088,0.396679854,38671.77143,347672537.5
Iron Man 3,Buena Vista,78,80,,,4253,2013,409013994,806426000,1215439994,200000000,174144585,2.04506997,6.07719997,0.507193461,40946.2932,385836534.3
Transformers: Dark of the Moon,Dreamworks,35,67,Quest,Action,4088,2011,352390000,771400000,1123790000,195000000,97852000,1.807128205,5.763025641,0.456818771,23936.39922,321555875
Skyfall,Sony,92,86,,,3505,2012,304360277,804200736,1108561013,200000000,88364714,1.521801385,5.542805065,0.378463067,25211.04536,283055057.6
The Dark Knight Rises,Warner Brothers,88,90,,,4404,2012,448139099,636300000,1084439099,250000000,160887295,1.792556396,4.337756396,0.704289013,36532.08333,416769362.1
Toy Story 3,Disney,99,91,Rescue,Animation,4028,2010,415000000,648160000,1063160000,200000000,110300000,2.075,5.3158,0.640274006,27383.31678,366583333.3
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,2011,241071000,804640000,1045711000,250000000,90151000,0.964284,4.182844,0.299601064,21696.99158,219977287.5
Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,2010,334190000,691276000,1025466000,200000000,116100000,1.67095,5.12733,0.483439321,31142.70386,295201166.7
The Hobbit: An Unexpected Journey,Warner Brothers,65,83,,,4045,2012,303003568,714000000,1017003568,200000000,84617303,1.51501784,5.08501784,0.424374745,20918.98714,281793318.2
The Dark Knight,Warner Brothers,94,96,Revenge,Thriller,4366,2008,534858000,469700000,1004558000,1004558000,158400000,0.532431179,1,1.138722589,36280.34814,467555035
Despicable Me 2,Universal,74,85,,,3997,2013,368061265,596700000,964761265,76000000,83517315,4.842911382,12.69422717,0.616827996,20895,347204460
Pirates of the Caribbean: At World's End,Disney,45,74,Rescue,Action,4362,2008,309420000,654000000,963420000,654000000,114700000,0.473119266,1.473119266,0.473119266,26295.2774,270484650
Harry Potter and the Deathly Hallows Part 1,Warner Brothers,79,87,Quest,Adventure,4125,2010,295000000,664300000,959300000,125000000,125000000,2.36,7.6744,0.444076471,30303.0303,260583333.3
Harry Potter and the Order of the Phoenix,Warner Brothers,78,82,Quest,Adventure,4285,2008,292004000,647881000,939885000,150000000,77100000,1.946693333,6.2659,0.450706225,17992.99883,255260163.3
Harry Potter and the Half-Blood Prince ,Warner Brothers,83,75,Quest,Adventure,4325,2009,302000000,632000000,934000000,250000000,77800000,1.208,3.736,0.477848101,17988.43931,262488333.3
Spider-Man 3,Sony,61,54,Metamorphosis,Action,4252,2008,336530000,554341000,890871000,554341000,151100000,0.607081201,1.607081201,0.607081201,35536.21825,294183308.3
Ice Age: Dawn of the Dinosaurs ,Fox,45,72,Quest,Animation,4099,2009,196570000,690110000,886680000,90000000,41700000,2.184111111,9.852,0.284838649,10173.21298,170852091.7
Ice Age: Continental Drift,Fox,37,63,,,3881,2012,161321843,715922939,877244782,95000000,46629259,1.698124663,9.2341556,0.225334089,12014.75367,150029314
THG: Catching Fire,Lionsgate,90,92,,,4163,2013,420021917,435873393,855895310,130000000,158074286,3.230937823,6.583810077,0.963632843,37971.24333,396220675
The Desolation of Smaug,Warner Brothers,75,85,,,3903,2013,252326338,595000000,847326338,225000000,73645197,1.121450391,3.765894836,0.424077879,18868.86933,238027845.5
Transformers: Revenge of the Fallen ,Paramount,20,76,Revenge,Action,4234,2009,402100000,434200000,836300000,210000000,109000000,1.914761905,3.982380952,0.926070935,25743.97733,349491916.7
The Twilight Saga: Breaking Dawn Part 2,Lionsgate,48,71,,,4070,2012,292324737,537360640,829685377,120000000,141067634,2.436039475,6.914044808,0.544001021,34660.35233,271862005.4
Inception,Warner Brothers,86,93,Journey and Return,Action,3792,2010,292580000,532956000,825536000,160000000,62800000,1.828625,5.1596,0.5489759,16561.18143,258445666.7
Frozen,Buena Vista,89,89,,,1,2013,347899011,462500000,810399011,150000000,243390,2.31932674,5.402660073,0.752214078,,328184733.7
Shrek the Third,Paramount,42,57,Quest,Animation,4122,2008,322719000,476238000,798957000,476238000,121600000,0.677642271,1.677642271,0.677642271,29500.2426,282110192.5
Fast & Furious 6,Universal,69,84,,,3658,2013,238679850,550000000,788679850,160000000,97375245,1.491749063,4.929249063,0.433963364,26619.80454,225154658.5
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,2008,317101000,469534000,786635000,786635000,100100000,0.403110718,1,0.675352584,23497.65258,277199124.2
2012,Sony,39,63,Escape,Action,3404,2009,166120000,603567000,769687000,200000000,65300000,0.8306,3.848435,0.275230422,19183.31375,144385966.7
Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,2010,238740000,513864000,752604000,165000000,70800000,1.446909091,4.561236364,0.464597637,16242.2574,210887000
The Amazing Spider-Man,Sony,73,77,,,4318,2012,262030663,490185894,752216557,230000000,62004688,1.139263752,3.27050677,0.534553659,14359.58499,243688516.6
Monsters University,Buena Vista,78,83,,,4004,2013,268492764,475066843,743559607,200000000,82429469,1.34246382,3.717798035,0.565168393,20586.78047,253278174
Up ,Disney,98,86,Journey and Return,Animation,3766,2009,293000000,438300000,731300000,175000000,68100000,1.674285714,4.178857143,0.668491901,18082.84652,254665833.3
Twilight: Breaking Dawn,Indie,26,68,Love,Romance,4061,2011,281290000,430880000,712170000,110000000,138122000,2.557181818,6.474272727,0.652826773,34011.81975,256677125
The Twilight Saga: New Moon ,Summit Entertainment,27,78,Love,Drama,4024,2009,296620000,413200000,709820000,50000000,142800000,5.9324,14.1964,0.7178606,35487.07753,257812216.7
Transformers,Paramount,57,89,Monster Force,Action,4011,2008,319246000,390463000,709709000,390463000,70500000,0.817608839,1.817608839,0.817608839,17576.66417,279074211.7
"The Twilight Saga: Eclipse	",Summit Entertainment,50,74,Monster Force,Drama,4468,2010,300530000,397959000,698489000,68000000,64800000,4.419558824,10.27189706,0.755178297,14503.13339,265468166.7
Mission Impossible 4,Paramount,93,86,Pursuit,Action,3448,2011,209390000,485320000,694710000,145000000,29550000,1.444068966,4.791103448,0.431447293,8570.185615,191068375
The Hunger Games,Lionsgate,84,81,,,4137,2012,408010692,283237076,691247768,78000000,152535747,5.230906308,8.862150872,1.440527129,36871.10152,379449943.6
Gravity,Warner Brothers,97,85,,,3575,2013,261208962,427300000,688508962,100000000,55785112,2.61208962,6.88508962,0.611301105,15604.22713,246407120.8
Man of Steel,Warner Brothers,55,76,,,4207,2013,291045518,377000000,668045518,225000000,116619362,1.293535636,2.969091191,0.772004027,27720.31424,274552938.6
