filmName,normalizedDistributor,Director,Lead Actor,scoreRotten,scoreAudience,story,genre,openingWeekendNumTheaters,year,domesticGrossAdj,foreignGrossAdj,worldwideGrossAdj,budgetAdj,openingWeekend,domesticProfitability,worldwideProfitability,domToForeignRatio,openingWeekendGrossPerScreen,domesticGrossInfAdj,audCriticDiff
Mamma Mia!,Universal,Phyllida Lloyd,Pierce Brosnan,53,76,Love,Comedy,2976,2008,144130000,465711000,609841000,52000000,27750000,2.771730769,1,0.309483779,9324.596774,125993641.7,23
Madagascar: Escape 2 Africa,Paramount,Eric Darnell,Ben Stiller,64,73,Journey and Return,Animation,4056,2008,180010000,423889000,603899000,150000000,63110000,1.200066667,1,0.42466306,15559.66469,157358741.7,9
Quantum of Solace,MGM,Marc Forster,Daniel Craig,64,62,Revenge,Action,3451,2008,168368000,417722000,586090000,200000000,67500000,0.84184,1,0.403062324,19559.54796,147181693.3,-2
Iron Man,Paramount,Jon Favreau,Robert Downey Jr.,94,91,Metamorphosis,Action,4105,2008,318762000,266762000,585524000,140000000,98620000,2.276871429,1,1.194930312,24024.36054,278651115,-3
WALL-E,Disney,Andrew Stanton,Ben Burtt,96,89,love,Animation,3992,2008,223808000,297503000,521311000,180000000,63090000,1.243377778,1,0.752288212,15804.10822,195645493.3,-7
The Chronicles of Narnia: Prince Caspian,Disney,Andrew Adamson,Ben Barnes,66,78,fish out of water,Action,3929,2008,141621000,278044000,419665000,225000000,55030000,0.629426667,1,0.509347441,14006.10842,123800357.5,12
Ratatouille,Disney,Brad Bird,Patton Oswalt,97,84,Transformation,Animation,3940,2008,206445000,417277000,623722000,150000000,47000000,1.3763,1.4947433,0.4947433,11928.93401,180467337.5,-13
Sex and the City,Warner Brothers,Michael Patrick King,Sarah Jessica Parker,49,81,love,Comedy,3285,2008,152647000,262606000,415253000,65000000,57040000,2.348415385,1,0.581277655,17363.77473,133438919.2,32
Twilight,Summit Entertainment,Catherine Hardwicke,Kristen Stewart,49,82,Love,Romance,3419,2008,192769000,199846000,392615000,37000000,69640000,5.209972973,1,0.964587733,20368.52881,168512234.2,33
Slumdog Millionaire,Indie,"Danny Boyle, Loveleen Tandan(co-director)",Dev Patel,94,90,Underdog,Crime,,2008,141319000,236590000,377909000,15000000,4300000,9.421266667,1,0.597316032,,123536359.2,-4
The Simpsons Movie,Fox,David Silverman,Dan Castellaneta,90,78,Maturation,Comedy,3922,2008,183135000,343936000,527071000,75000000,74000000,2.4418,1.53246825,0.53246825,18867.92453,160090512.5,-12
Wanted,Universal,Timur Bekmambetov,James McAvoy,73,72,Transformation,Action,3175,2008,134508000,206924000,341432000,75000000,50930000,1.79344,1,0.650035762,16040.94488,117582410,-1
The Curious Case of Benjamin Button,Warner Brothers,David Fincher,Cate Blanchett,73,81,love,Fantasy,2988,2008,127509000,206422000,333931000,150000000,26850000,0.85006,1,0.617710322,8985.943775,111464117.5,8
I Am Legend,Warner Brothers,Francis Lawrence,Will Smith,69,69,Quest,Thriller,3606,2008,256393000,328956000,585349000,150000000,77200000,1.709286667,1.779414268,0.779414268,21408.76317,224130214.2,0
Bolt,Disney,"Byron Howard, Chris Williams",John Travolta,89,76,rescue,Animation,3651,2008,114053000,195926000,309979000,150000000,26200000,0.760353333,1,0.582122842,7176.116133,99701330.83,-13
The Golden Compass,Warner Brothers,Chris Weitz,Nicole Kidman,42,55,Rescue,Action,3528,2008,70107000,302127000,372234000,180000000,25700000,0.389483333,1.232044802,0.232044802,7284.580499,61285202.5,13
Pirates of the Caribbean: At World's End,Disney,Gore Verbinski,Johnny Depp,45,74,Rescue,Action,4362,2008,309420425,654000000,963420000,300000000,114700000,1.031401417,1.473119266,0.473119266,26295.2774,270484650,29
Dr. Seuss' Horton Hears a Who!,Fox,Steve Martino,Jim Carrey,79,75,rescue,Animation,3954,2008,154529000,142608000,297137000,85000000,45000000,1.817988235,1,1.083592786,11380.88012,135084100.8,-4
"10,000 B.C.",Warner Brothers,Willis H. O'Brien,,9,44,Rescue,Adventure,3410,2008,94784000,175000000,269784000,105000000,35900000,0.902704762,1,0.541622857,10527.85924,82857013.33,35
The Incredible Hulk,Universal,Louis Leterrier,Edward Norton,67,75,Metamorphosis,Action,3505,2008,134806000,128620000,263426000,150000000,55140000,0.898706667,1,1.048095164,15731.8117,117842911.7,8
Tangled,Disney,Nathan Greno,Zachary Levi,89,88,Love,Animation,3603,2010,200821000,390973000,591794000,260000000,48770000,0.772388462,2.276130769,0.513644165,13535.94227,177391883.3,-1
Spider-Man 3,Sony,Sam Raimi,Tobey Maguire,61,54,Metamorphosis,Action,4252,2008,336530000,554341000,890871000,258000000,151100000,1.304379845,1.607081201,0.607081201,35536.21825,294183308.3,-7
High School Musical 3: Senior Year,Disney,Kenny Ortega,Zac Efron,65,76,love,Comedy,3623,2008,90559000,162349000,252908000,11000000,42030000,8.232636364,1,0.557804483,11600.88325,79163659.17,11
The Dark Knight Rises,Warner Brothers,Christopher Nolan,Christian Bale,88,90,,Action,4404,2012,448139099,636300000,1084439099,250000000,160887295,1.792556396,4.337756396,0.704289013,36532.08333,416769362.1,2
"Pirates of the Caribbean:
On Stranger Tides",Disney,Rob Marshall,Johnny Depp,34,61,Quest,Action,4155,2011,241071000,804640000,1045711000,250000000,90151000,0.964284,4.182844,0.299601064,21696.99158,219977287.5,27
Harry Potter and the Half-Blood Prince ,Warner Brothers,David Yates,Daniel Radcliffe,83,75,Quest,Adventure,4325,2009,301959197,632000000,934000000,250000000,77800000,1.207836788,3.736,0.477848101,17988.43931,262488333.3,-8
John Carter,Buena Vista,Andrew Stanton,Taylor Kitsch,51,60,,Action,3749,2012,73078100,211061000,284139100,250000000,30180188,0.2923124,1.1365564,0.346241608,8050.196852,67962633,9
